T,"(x,y)"
0,"(10,0)"
0.0526316,"(10.0627,0.0526316)"
0.105263,"(9.75361,0.105263)"
0.157895,"(9.11649,0.157895)"
0.210526,"(8.19507,0.210526)"
0.263158,"(7.03309,0.263158)"
0.315789,"(5.6743,0.315789)"
0.368421,"(4.16241,0.368421)"
0.421053,"(2.54119,0.421053)"
0.473684,"(0.854352,0.473684)"
0.526316,"(-0.854352,0.526316)"
0.578947,"(-2.54119,0.578947)"
0.631579,"(-4.16241,0.631579)"
0.684211,"(-5.6743,0.684211)"
0.736842,"(-7.03309,0.736842)"
0.789474,"(-8.19507,0.789474)"
0.842105,"(-9.11649,0.842105)"
0.894737,"(-9.75361,0.894737)"
0.947368,"(-10.0627,0.947368)"
1,"(-10,1)"